Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,BasketTP_USD,BasketSL_USD,TrailActivate_USD,TrailDistance_USD
26,6877.88,-3122.12,-1.959900,0.700009,-0.820430,-5.000000,0,36.3738,1593,15,6,6,2
351,6831.97,-3168.03,-2.534424,0.728156,-0.594201,-5.000000,0,52.0010,1250,15,6,12,4
414,6822.68,-3177.32,-2.051207,0.734542,-0.792067,-5.000000,0,38.2484,1549,30,10,6,5
526,6815.52,-3184.48,-1.947694,0.722984,-0.706569,-5.000000,0,42.3585,1635,15,6,6,6
513,6812.83,-3187.17,-2.079041,0.685579,-0.660559,-5.000000,0,46.1579,1533,25,10,4,6
536,6807.32,-3192.68,-2.132719,0.733020,-0.598218,-5.000000,0,48.7369,1497,15,10,6,6
511,6804.25,-3195.75,-2.059117,0.694054,-0.712529,-5.000000,0,43.0574,1552,15,10,4,6
551,6801.29,-3198.71,-2.051770,0.726153,-0.600557,-5.000000,0,50.0585,1559,15,6,8,6
399,6794.56,-3205.44,-2.266931,0.699520,-0.726161,-5.000000,0,42.0890,1414,30,14,4,5
398,6794.56,-3205.44,-2.266931,0.699520,-0.726161,-5.000000,0,42.0890,1414,25,14,4,5
109,6792.41,-3207.59,-2.693191,0.726394,-0.706147,-5.000000,0,44.3036,1191,30,8,12,2
413,6790.12,-3209.88,-2.060257,0.731960,-0.800183,-5.000000,0,38.2484,1558,25,10,6,5
503,6772.26,-3227.74,-1.931622,0.684905,-0.773326,-5.000000,0,40.0471,1671,25,6,4,6
331,6764.99,-3235.01,-2.636520,0.698316,-0.802983,-5.000000,0,38.4946,1227,15,8,10,4
504,6756.06,-3243.94,-1.951829,0.678329,-0.774203,-5.000000,0,40.2025,1662,30,6,4,6
431,6752.42,-3247.58,-2.380924,0.709936,-0.654532,-5.000000,0,47.1874,1364,15,8,8,5
382,6740.13,-3259.87,-2.176148,0.664126,-0.744060,-5.000000,0,41.7740,1498,20,8,4,5
352,6736.96,-3263.04,-2.587661,0.718471,-0.633422,-5.000000,0,50.2441,1261,20,6,12,4
373,6732.52,-3267.48,-3.235129,0.768738,-0.650136,-5.000000,0,49.0190,1010,25,14,12,4
320,6718.70,-3281.30,-2.680801,0.771122,-0.730244,-5.000000,0,43.5312,1224,10,14,8,4
583,6705.71,-3294.29,-2.559666,0.709656,-0.634382,-5.000000,0,46.9350,1287,25,8,10,6
557,6702.46,-3297.54,-2.439009,0.693846,-0.622638,-5.000000,0,49.5574,1352,20,8,8,6
434,6697.32,-3302.68,-2.473918,0.699671,-0.655558,-5.000000,0,48.0363,1335,30,8,8,5
472,6696.09,-3303.91,-3.223327,0.722689,-0.714152,-5.000000,0,44.1114,1025,20,14,10,5
91,6690.14,-3309.86,-2.831360,0.743095,-0.744979,-5.000000,0,42.4144,1169,15,12,10,2
534,6689.00,-3311.00,-2.281875,0.669125,-0.692936,-5.000000,0,44.7116,1451,30,8,6,6
419,6679.77,-3320.23,-2.376686,0.713498,-0.679060,-5.000000,0,46.6201,1397,30,12,6,5
418,6679.77,-3320.23,-2.376686,0.713498,-0.679060,-5.000000,0,46.6201,1397,25,12,6,5
207,6676.72,-3323.28,-2.686564,0.685500,-0.767094,-5.000000,0,41.7677,1237,20,8,10,3
445,6672.04,-3327.96,-2.741318,0.759293,-0.703538,-5.000000,0,46.0019,1214,10,14,8,5
170,6663.67,-3336.33,-2.673341,0.736909,-0.726709,-5.000000,0,44.0206,1248,10,14,6,3
285,6647.83,-3352.17,-2.275743,0.742335,-0.886543,-5.000000,0,36.7715,1473,10,10,6,4
437,6641.14,-3358.86,-2.504743,0.721165,-0.717507,-5.000000,0,44.6354,1341,20,10,8,5
108,6641.07,-3358.93,-2.810820,0.713598,-0.739465,-5.000000,0,44.3036,1195,25,8,12,2
410,6637.08,-3362.92,-2.244940,0.736718,-0.875852,-5.000000,0,36.9725,1498,10,10,6,5
586,6630.39,-3369.61,-2.872643,0.720925,-0.657132,-5.000000,0,46.9421,1173,15,10,10,6
439,6625.44,-3374.56,-2.474018,0.723254,-0.718452,-5.000000,0,44.7851,1364,30,10,8,5
384,6620.85,-3379.15,-2.255774,0.651836,-0.750844,-5.000000,0,42.9113,1498,30,8,4,5
383,6620.85,-3379.15,-2.255774,0.651836,-0.750844,-5.000000,0,42.9113,1498,25,8,4,5
531,6596.41,-3403.59,-2.321685,0.670668,-0.735069,-5.000000,0,43.5228,1466,15,8,6,6
84,6595.66,-3404.34,-2.588852,0.712104,-0.710968,-5.000000,0,43.8278,1315,30,8,10,2
579,6589.33,-3410.67,-2.276816,0.724773,-0.690722,-5.000000,0,46.1800,1498,30,6,10,6
81,6585.71,-3414.29,-2.600373,0.706287,-0.731487,-5.000000,0,42.7229,1313,15,8,10,2
488,6584.47,-3415.53,-3.068760,0.729665,-0.683829,-5.000000,0,48.7154,1113,25,10,12,5
416,6582.32,-3417.68,-2.518556,0.702540,-0.640125,-5.000000,0,50.8601,1357,15,12,6,5
186,6579.95,-3420.05,-2.835862,0.690348,-0.664242,-5.000000,0,50.2183,1206,15,10,8,3
578,6577.83,-3422.17,-2.298301,0.724206,-0.691441,-5.000000,0,46.2875,1489,25,6,10,6
456,6559.94,-3440.06,-2.728041,0.691793,-0.718255,-5.000000,0,45.5497,1261,15,8,10,5
512,6558.22,-3441.78,-2.242202,0.669433,-0.696521,-5.000000,0,47.2717,1535,20,10,4,6
574,6546.72,-3453.28,-3.045220,0.707405,-0.454296,-5.000000,0,67.3054,1134,30,14,8,6
433,6545.98,-3454.02,-2.579552,0.686042,-0.685598,-5.000000,0,48.0363,1339,25,8,8,5
443,6544.73,-3455.27,-2.848533,0.705803,-0.689189,-5.000000,0,47.8032,1213,25,12,8,5
533,6537.66,-3462.34,-2.379615,0.654162,-0.724609,-5.000000,0,44.7116,1455,25,8,6,6
359,6536.80,-3463.20,-3.070213,0.695596,-0.677742,-5.000000,0,49.8390,1128,30,8,12,4
189,6535.01,-3464.99,-2.919115,0.686041,-0.657002,-5.000000,0,51.4388,1187,30,10,8,3
391,6532.09,-3467.91,-2.360728,0.681254,-0.677612,-5.000000,0,48.7525,1469,15,12,4,5
292,6520.13,-3479.87,-2.433476,0.732286,-0.698155,-5.000000,0,48.6146,1430,20,12,6,4
406,6510.45,-3489.55,-2.367402,0.679591,-0.789250,-5.000000,0,42.0487,1474,15,8,6,5
187,6504.72,-3495.28,-2.934744,0.683430,-0.662745,-5.000000,0,51.4388,1191,20,10,8,3
188,6502.45,-3497.55,-2.924373,0.683268,-0.663176,-5.000000,0,51.4388,1196,25,10,8,3
573,6499.50,-3500.50,-3.059878,0.703210,-0.460508,-5.000000,0,67.3054,1144,25,14,8,6
381,6492.54,-3507.46,-2.276093,0.656025,-0.781983,-5.000000,0,42.6573,1541,15,8,4,5
231,6488.46,-3511.54,-3.149363,0.687526,-0.680329,-5.000000,0,50.3424,1115,15,8,12,3
432,6488.04,-3511.96,-2.613065,0.680635,-0.714003,-5.000000,0,46.8989,1344,20,8,8,5
348,6477.10,-3522.90,-3.289356,0.723732,-0.795718,-5.000000,0,41.8603,1071,25,14,10,4
124,6467.85,-3532.15,-3.344839,0.752197,-0.646767,-5.000000,0,53.2656,1056,30,14,12,2
123,6467.85,-3532.15,-3.344839,0.752197,-0.646767,-5.000000,0,53.2656,1056,25,14,12,2
122,6467.85,-3532.15,-3.344839,0.752197,-0.646767,-5.000000,0,53.2656,1056,20,14,12,2
484,6466.63,-3533.37,-3.247583,0.669269,-0.621394,-5.000000,0,55.4598,1088,30,8,12,5
102,6461.62,-3538.38,-2.577116,0.714460,-0.705005,-5.000000,0,48.9517,1373,20,6,12,2
166,6459.30,-3540.70,-2.841653,0.674569,-0.722443,-5.000000,0,47.7810,1246,15,12,6,3
409,6458.47,-3541.53,-2.454283,0.664742,-0.809245,-5.000000,0,41.7277,1443,30,8,6,5
408,6458.47,-3541.53,-2.454283,0.664742,-0.809245,-5.000000,0,41.7277,1443,25,8,6,5
407,6456.45,-3543.55,-2.443828,0.668359,-0.809333,-5.000000,0,41.7470,1450,20,8,6,5
539,6447.94,-3552.06,-2.446322,0.691998,-0.603129,-5.000000,0,53.4624,1452,30,10,6,6
83,6444.32,-3555.68,-2.695739,0.699424,-0.739382,-5.000000,0,44.0170,1319,25,8,10,2
