label,Session1,Session2,GridSpacingUSD,profit,pf,eqdd,trades,sharpe,elapsed_s
entry_ctrl_sp070,07:00-10:00,12:00-15:00,0.70,-1 770.44,0.95,4 356.82 (36.59%),3290,-1.87,449.3
entry_ctrl_sp100,07:00-10:00,12:00-15:00,1.00,-1 604.85,0.95,4 232.18 (35.47%),3042,-1.75,446.7
entry_ctrl_sp140,07:00-10:00,12:00-15:00,1.40,-5 227.29,0.78,6 300.08 (59.00%),2156,-5.00,487.0
entry_narrow_sp070,07:00-08:00,12:00-13:00,0.70,-4 337.58,0.74,5 788.84 (53.25%),1352,-5.00,428.4
entry_narrow_sp100,07:00-08:00,12:00-13:00,1.00,-2 935.57,0.80,3 924.72 (37.47%),1273,-5.00,423.4
entry_narrow_sp140,07:00-08:00,12:00-13:00,1.40,-3 954.61,0.67,4 235.85 (41.79%),1027,-5.00,424.7
entry_open30_sp070,07:00-07:30,12:00-12:30,0.70,-2 688.77,0.80,4 013.89 (37.14%),1125,-5.00,421.0
entry_open30_sp100,07:00-07:30,12:00-12:30,1.00,-2 627.72,0.77,3 401.11 (32.47%),977,-5.00,421.1
entry_open30_sp140,07:00-07:30,12:00-12:30,1.40,-3 708.82,0.60,4 243.84 (41.87%),777,-5.00,419.4
